replicate	queries	coverage	useful_correct_coverage	precision_among_evaluable_accepted
147	18503	0.560179430362644	0.30454520888504566	0.5437614590369584
148	18234	0.5037292969178457	0.34989579905670726	0.6947620603288686
149	22151	0.6688637081847321	0.43027402826057515	0.6433778857837181
150	21084	0.6040599506734965	0.491415291216088	0.81364850007853
151	17946	0.5862587763289869	0.38582413908391844	0.6583626509460873
152	18717	0.6277181172196399	0.4199925201688305	0.6691921341619137
153	13558	0.654890101784924	0.5186605694055171	0.7919810789503322
154	18345	0.5231398201144726	0.3015535568274734	0.5764301344170053
155	16550	0.5090030211480363	0.3153474320241692	0.6196865352647827
156	18648	0.4477155727155727	0.3145109395109395	0.7028160575194727
157	25015	0.6808714771137317	0.3778532880271837	0.5550857411322527
158	20039	0.5106043215729328	0.3644892459703578	0.7139784946236559
159	26714	0.611177659654114	0.42131466646702104	0.6894333843797856
160	24689	0.45785572522175866	0.21778929887804285	0.47584070796460176
161	15299	0.6074906856657298	0.354532976011504	0.5837279380111924
162	17507	0.5978751356600217	0.3478037356485977	0.5817330658259291
163	17427	0.5015780111321513	0.4342686635680266	0.8658048278229036
164	17817	0.44990739181680417	0.2671605769770444	0.5941088367448827
165	21642	0.6071527585250901	0.3798170224563349	0.6255707762557078
166	31960	0.574342928660826	0.4102941176470588	0.7144491663942465
167	24991	0.5739266135808891	0.39318154535632827	0.6852639654090243
168	18638	0.6221161068784204	0.33866294666809743	0.5444664883981714
169	25229	0.5612588687621388	0.32997740695231675	0.5879237288135594
170	17559	0.677202574178484	0.3399965829489151	0.5020603818013624
171	18080	0.7652101769911505	0.4064712389380531	0.531189013371883
172	21176	0.6504061201360031	0.4175953910086891	0.6423331154209341
173	19918	0.6068882417913445	0.3962747263781504	0.6531777557100298
174	17442	0.41342735924779267	0.2635592248595345	0.6374982665372347
175	18698	0.550647128035084	0.28297144079580705	0.5139887312997863
176	21157	0.5401521954908541	0.4299758945030014	0.7960273013650683
177	21039	0.4808213318123485	0.3773943628499453	0.7853610286844708
178	19321	0.6916826251229232	0.5329951865845454	0.7706930100284388
179	26853	0.5311138420288236	0.37377574200275576	0.7038569424964937
180	15574	0.6804289199948632	0.46571208424296906	0.6845681925436526
181	21140	0.5850993377483443	0.32417218543046356	0.5541360071157112
182	16847	0.6256306760847629	0.3511604439959637	0.5613968494970583
183	17722	0.5335740887033066	0.2210247150434488	0.4143219801142374
184	15854	0.6178882300996594	0.4326352970859089	0.7001837484687627
185	15275	0.4774468085106383	0.2542716857610475	0.532857730827274
186	26701	0.5863076289277556	0.37167147297854014	0.6339188757585436
187	24095	0.5622328283876323	0.336584353600332	0.5987449243263196
188	17989	0.5644560564789594	0.29579187281116237	0.5241331757289204
189	18623	0.6201471298931429	0.38704827364012245	0.6243395409268081
190	23191	0.6108404122288819	0.4287439092751498	0.7018918537342934
191	18435	0.552915649579604	0.36517493897477626	0.6608422499263767
192	22132	0.5932586300379541	0.36960057834809323	0.6230956733698964
193	21749	0.5161156834797003	0.3269115821417077	0.6334075723830735
194	13905	0.5541891405969076	0.31722402013664147	0.5725597092419522
195	25559	0.627919715168825	0.4719668218631402	0.751635615926226
196	20603	0.576178226471873	0.4192593311653643	0.727778245850535
