level	scope	group	queries	clusters	loss_queries	loss_fraction	expected_loss_fraction_given_budget	observed_minus_expected_pp	full_activity_candidates_q25	full_activity_candidates_median	full_activity_candidates_q75	scored_activity_candidates_q25	scored_activity_candidates_median	scored_activity_candidates_q75	full_matching_activities_q25	full_matching_activities_median	full_matching_activities_q75	full_matching_reference_proteins_q25	full_matching_reference_proteins_median	full_matching_reference_proteins_q75	realized_scored_fraction_q25	realized_scored_fraction_median	realized_scored_fraction_q75	best_modality_first_match_rank_q25	best_modality_first_match_rank_median	best_modality_first_match_rank_q75
EC_L4	MATCH_COUNT_X_RANK	6-10 | 21-50	3	1	0	0.0	0.4546492166306238	-45.46492166306238	120.0	121.0	126.5	7.5	9.0	12.5	9.0	9.0	9.5	4.5	5.0	5.0	0.06260851448017224	0.07563025210084033	0.09842118665648078	21.0	21.0	23.0
EC_L4	MATCH_COUNT_X_RANK	>10 | 1	2126	284	415	0.19520225776105363	0.18316857867404035	1.2033679087013276	77.0	106.0	131.0	7.0	10.0	13.0	12.0	16.0	26.75	7.0	11.0	20.0	0.07407407407407407	0.09251478369125428	0.11363636363636363	1.0	1.0	1.0
EC_L4	MATCH_COUNT_X_RANK	>10 | 2-5	54	19	6	0.1111111111111111	0.1048344657374	0.62766453737111	138.5	157.0	169.75	12.0	15.0	16.75	12.25	63.5	117.5	6.25	38.5	58.75	0.07885694249649369	0.09427126059611704	0.1131336405529954	2.0	2.0	2.0
EC_L4	MATCH_COUNT_X_RANK	>10 | 6-10	5	3	3	0.6	0.25474749796141805	34.52525020385819	118.0	142.0	143.0	11.0	13.0	14.0	14.0	17.0	17.0	9.0	9.0	11.0	0.07692307692307693	0.09154929577464789	0.09722222222222222	8.0	8.0	9.0
EC_L4	MATCH_COUNT_X_RANK	>10 | 11-20	3	2	0	0.0	0.21561609043724547	-21.56160904372455	121.5	124.0	164.0	12.0	14.0	18.0	13.0	15.0	15.5	5.0	5.0	6.0	0.09593837535014006	0.10784313725490197	0.1103731815306768	13.5	16.0	17.5
EC_L4	MATCH_COUNT_X_RANK	>10 | 21-50	2	1	0	0.0	0.24941459870257854	-24.941459870257855	128.0	131.0	134.0	11.5	13.0	14.5	12.75	13.5	14.25	6.25	6.5	6.75	0.08674452554744524	0.1004963503649635	0.11424817518248176	22.75	23.5	24.25
EXACT_RHEA	MATCH_COUNT_X_RANK	1 | 1	1642	112	1479	0.9007308160779537	0.9062660441601885	-0.5535228082234833	91.25	123.0	138.0	8.0	11.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07333333333333333	0.09302325581395349	0.11198507462686567	1.0	1.0	1.0
EXACT_RHEA	MATCH_COUNT_X_RANK	1 | 2-5	143	38	135	0.9440559440559441	0.905453786500434	3.860215755551011	114.0	127.0	137.0	9.0	12.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07469661040591435	0.096	0.1138095238095238	2.0	2.0	4.5
EXACT_RHEA	MATCH_COUNT_X_RANK	1 | 6-10	29	16	26	0.896551724137931	0.9004942990352011	-0.39425748972700125	104.0	123.0	133.0	9.0	11.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07317073170731707	0.0975609756097561	0.12121212121212122	7.0	7.0	8.0
EXACT_RHEA	MATCH_COUNT_X_RANK	1 | 11-20	45	15	39	0.8666666666666667	0.9041616600645117	-3.749499339784501	123.0	134.0	140.0	8.0	13.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06944444444444445	0.0945945945945946	0.11764705882352941	13.0	14.0	17.0
EXACT_RHEA	MATCH_COUNT_X_RANK	1 | 21-50	97	21	83	0.8556701030927835	0.9065939368660286	-5.092383377324516	81.0	129.0	137.0	8.0	11.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0755813953488372	0.09375	0.11594202898550725	29.0	36.0	45.0
EXACT_RHEA	MATCH_COUNT_X_RANK	2-5 | 1	7740	267	5699	0.7363049095607235	0.7342944841713799	0.20104253893435953	78.0	113.0	132.0	7.0	10.0	13.0	2.0	3.0	4.0	2.0	3.0	4.0	0.07481403776463856	0.09339563862928349	0.11363636363636363	1.0	1.0	1.0
EXACT_RHEA	MATCH_COUNT_X_RANK	2-5 | 2-5	601	49	440	0.7321131447587355	0.7445590935948395	-1.244594883610406	132.0	141.0	152.0	11.0	13.0	16.0	3.0	3.0	3.0	3.0	3.0	3.0	0.07741935483870968	0.09448818897637795	0.1111111111111111	3.0	3.0	4.0
EXACT_RHEA	MATCH_COUNT_X_RANK	2-5 | 6-10	42	13	36	0.8571428571428571	0.7961092936199137	6.103356352294343	97.0	113.0	142.25	8.0	10.0	13.75	2.0	2.0	3.0	2.0	2.0	2.0	0.0701245704467354	0.08562271062271062	0.11093073593073592	7.0	8.0	8.0
EXACT_RHEA	MATCH_COUNT_X_RANK	2-5 | 11-20	29	12	23	0.7931034482758621	0.74463882564933	4.846462262653207	105.0	124.0	134.0	8.0	9.0	13.0	2.0	3.0	4.0	2.0	2.0	3.0	0.06923076923076923	0.08661417322834646	0.109375	12.0	14.0	18.0
EXACT_RHEA	MATCH_COUNT_X_RANK	2-5 | 21-50	30	10	24	0.8	0.7862210346915307	1.3778965308469338	125.25	138.0	149.75	9.0	11.5	15.75	2.0	2.0	3.0	2.0	2.0	3.0	0.07155704008221994	0.08474789071916433	0.10508108108108108	22.25	25.0	27.0
EXACT_RHEA	MATCH_COUNT_X_RANK	6-10 | 1	1735	151	882	0.5083573487031701	0.48772447280915876	2.0632875894011304	73.0	115.0	133.0	6.0	9.0	13.0	6.0	7.0	9.0	6.0	7.0	8.0	0.072992700729927	0.09154929577464789	0.11363636363636363	1.0	1.0	1.0
EXACT_RHEA	MATCH_COUNT_X_RANK	6-10 | 2-5	86	15	43	0.5	0.5343778185663959	-3.437781856639588	86.0	89.0	126.0	7.0	9.0	13.0	6.0	6.0	6.0	2.0	2.0	4.0	0.07797619047619048	0.09357045143638851	0.11431340542746378	2.0	2.0	2.0
EXACT_RHEA	MATCH_COUNT_X_RANK	6-10 | 6-10	6	3	1	0.16666666666666666	0.366749835460598	-20.00831687939313	124.0	142.5	158.75	11.5	14.5	19.75	9.0	9.0	9.75	9.0	9.0	9.75	0.08057963163596966	0.10717815665925376	0.12673833975181859	7.0	7.0	7.75
EXACT_RHEA	MATCH_COUNT_X_RANK	6-10 | 11-20	5	3	2	0.4	0.5789589381106535	-17.895893811065346	132.0	142.0	195.0	10.0	10.0	17.0	6.0	6.0	6.0	3.0	6.0	6.0	0.07042253521126761	0.08403361344537816	0.08717948717948718	11.0	12.0	14.0
EXACT_RHEA	MATCH_COUNT_X_RANK	6-10 | 21-50	2	1	2	1.0	0.5013331347241063	49.866686527589366	128.0	131.0	134.0	11.5	13.0	14.5	6.25	6.5	6.75	6.25	6.5	6.75	0.08674452554744524	0.1004963503649635	0.11424817518248176	22.75	23.5	24.25
EXACT_RHEA	MATCH_COUNT_X_RANK	>10 | 1	1360	207	166	0.12205882352941176	0.1276015367463269	-0.5542713216915143	90.0	117.0	141.0	7.0	11.0	14.0	15.0	24.0	38.0	9.0	13.0	38.0	0.07469119917653114	0.09257610328899772	0.11304347826086956	1.0	1.0	1.0
EXACT_RHEA	MATCH_COUNT_X_RANK	>10 | 2-5	17	7	2	0.11764705882352941	0.11765850559855749	-0.0011446775028081668	130.0	136.0	144.0	9.0	13.0	15.0	13.0	33.0	49.0	7.0	33.0	46.0	0.08108108108108109	0.09722222222222222	0.11428571428571428	2.0	2.0	3.0
EXACT_RHEA	MATCH_COUNT_X_RANK	>10 | 6-10	0	0	0																					
EXACT_RHEA	MATCH_COUNT_X_RANK	>10 | 11-20	0	0	0																					
EXACT_RHEA	MATCH_COUNT_X_RANK	>10 | 21-50	0	0	0																					
